City Name,Lat,Long ,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hobart,-42.88,147.33,62.01,51,75,14.99,AU,1599103062
La Santisima Trinidad,-14.83,-64.9,72.14,47,0,5.86,BO,1599103262
Laramie,41.31,-105.59,69.01,19,1,6.93,US,1599103262
Bredasdorp,-34.53,20.04,57.2,82,10,6.93,ZA,1599103117
Birao,10.28,22.79,68.61,97,100,5.03,CF,1599103262
Barrow,71.29,-156.79,39.2,86,90,16.11,US,1599103114
Beringovskiy,63.05,179.32,47.44,67,86,8.63,RU,1599103169
Rikitea,-23.12,-134.97,70.43,84,9,17.69,PF,1599103110
Joshīmath,30.57,79.57,71.96,49,1,3.98,IN,1599103263
Plettenberg Bay,-34.05,23.37,58.51,57,0,7.23,ZA,1599103263
Constitución,-35.33,-72.42,48.52,83,93,9.08,CL,1599103156
Tuktoyaktuk,69.45,-133.04,53.6,76,75,6.93,CA,1599103117
Hilo,19.73,-155.09,84.2,54,20,5.82,US,1599103116
Rundu,-17.93,19.77,67.68,48,22,7.0,NA,1599103264
Brownwood,31.71,-98.99,73.4,83,90,3.36,US,1599103264
Lata,40.16,-8.33,61.0,93,0,3.18,PT,1599102988
Nizwá,22.93,57.53,84.06,38,48,2.06,OM,1599103265
Hithadhoo,-0.6,73.08,82.17,72,100,10.22,MV,1599102851
Ulladulla,-35.35,150.47,84.2,23,49,21.92,AU,1599103265
Nikolskoye,59.7,30.79,54.0,93,38,8.95,RU,1599103119
Saint George,37.1,-113.58,89.6,16,1,9.17,US,1599103145
Albany,42.6,-73.97,73.99,91,95,3.74,US,1599103071
Carnarvon,-24.87,113.63,69.8,49,14,14.99,AU,1599102837
Puerto Ayora,-0.74,-90.35,66.0,89,74,1.99,EC,1599103148
Haines Junction,60.75,-137.51,49.71,67,100,5.84,CA,1599103138
Port Alfred,-33.59,26.89,60.96,39,0,12.44,ZA,1599103128
Roald,62.58,6.13,62.6,51,14,9.17,NO,1599103244
Hermanus,-34.42,19.23,55.0,94,30,5.99,ZA,1599103138
East London,-33.02,27.91,65.62,57,80,8.1,ZA,1599103153
Cap Malheureux,-19.98,57.61,68.0,90,70,4.0,MU,1599103146
Thompson,55.74,-97.86,46.4,87,75,5.82,CA,1599103122
Khatanga,71.97,102.5,49.66,62,100,18.5,RU,1599103186
Ushuaia,-54.8,-68.3,37.4,86,75,4.7,AR,1599103106
Bethel,41.37,-73.41,73.0,98,97,4.09,US,1599102858
Mar del Plata,-38.0,-57.56,46.99,100,90,13.87,AR,1599103038
Bluff,-46.6,168.33,53.37,64,88,5.41,NZ,1599103106
Lorengau,-2.02,147.27,86.25,65,51,6.98,PG,1599103268
Lompoc,34.64,-120.46,62.6,77,1,10.65,US,1599102904
Houma,29.6,-90.72,81.0,88,1,4.52,US,1599103161
Ribeira Grande,38.52,-28.7,73.24,79,71,7.36,PT,1599103111
Chennai,13.09,80.28,84.2,79,75,3.36,IN,1599102983
Kapaa,22.08,-159.32,84.2,66,20,10.29,US,1599102959
Hong Kong,22.29,114.16,96.01,59,2,5.99,HK,1599102924
Yellowknife,62.46,-114.35,48.0,75,20,5.82,CA,1599103125
Kavaratti,10.57,72.64,81.36,78,100,12.06,IN,1599103150
Port Hardy,50.7,-127.42,59.0,82,75,4.7,CA,1599103159
Suntar,62.14,117.63,58.73,78,88,7.43,RU,1599103205
Bowen,-20.02,148.23,78.8,57,90,14.99,AU,1599103270
Grindavik,63.84,-22.43,44.6,87,75,23.04,IS,1599102897
Rio Grande,-32.03,-52.1,62.01,92,95,1.99,BR,1599103270
Chistoye,56.54,43.0,41.0,93,0,4.59,RU,1599103270
Souillac,-20.52,57.52,68.0,100,75,6.93,MU,1599103160
Tasiilaq,65.61,-37.64,37.4,74,95,5.82,GL,1599103143
Rocha,-34.48,-54.33,55.94,90,99,15.57,UY,1599103171
Vaini,-21.2,-175.2,73.4,88,75,12.75,TO,1599103106
Macamic,48.75,-79.0,59.0,67,20,9.17,CA,1599103271
Obihiro,42.92,143.2,71.6,88,75,3.36,JP,1599103271
Busselton,-33.65,115.33,62.01,71,80,4.0,AU,1599103110
Shingū,33.73,135.98,82.4,88,75,11.41,JP,1599103144
Cayenne,4.93,-52.33,77.0,94,0,2.24,GF,1599103272
Butaritari,3.07,172.79,83.82,72,100,13.29,KI,1599103110
